index,millisecond,imageBound_x,imageBound_y,imageBound_width,imageBound_height,center_x,center_y,imagePoint_x,imagePoint_y,zoom,interval
354,109660,-22,98,653,381,305,289,85,225,1.5552,201
355,109882,-22,98,653,381,305,289,104,241,1.5552,222
356,110158,-22,98,653,381,305,289,131,262,1.5552,276
357,110350,98,81,653,381,425,272,207,280,1.5552,192
358,110553,98,81,653,381,425,272,200,280,1.5552,203
359,110854,98,81,653,381,425,272,199,281,1.5552,301
360,111101,98,81,653,381,425,272,301,258,1.5552,247
361,111304,227,8,653,381,554,199,337,245,1.5552,203
362,111547,227,8,653,381,554,199,333,252,1.5552,243
363,111966,227,8,653,381,554,199,422,206,1.5552,419
364,112183,345,-24,653,381,672,167,422,206,1.5552,217
365,112406,345,-24,653,381,672,167,451,202,1.5552,223
366,112612,345,-24,653,381,672,167,461,172,1.5552,206
367,112828,345,-24,653,381,672,167,449,167,1.55532883716528,216
368,113038,345,-24,653,381,672,167,476,174,1.55665286454931,210
369,113350,345,-24,653,381,672,167,603,157,1.58442717261353,312
370,113533,542,-48,653,381,869,143,611,156,1.58442717261353,183
371,113759,542,-48,653,381,869,143,672,101,1.8982324895277,226
372,113992,564,-23,544,317,836,136,631,139,1.8982324895277,233
373,114211,564,-23,544,317,836,136,669,101,2.24319788205347,219
374,114449,581,-3,453,264,808,129,671,102,2.24319788205347,238
375,114644,581,-3,453,264,808,129,667,99,2.25429462366413,195
376,115063,581,-3,453,264,808,129,716,97,2.28938811812384,419
377,115262,581,-3,453,264,808,129,760,95,2.74762904485696,199
378,115449,611,14,378,220,800,124,761,95,3.22486272,187
379,115661,611,14,378,220,800,124,758,93,3.22486272,212
380,115858,635,27,315,184,793,119,758,93,3.22486272,197
381,116082,635,27,315,184,793,119,757,91,3.22486272,224
382,116284,635,27,315,184,793,119,759,89,3.22486272,202
383,116465,635,27,315,184,793,119,767,80,3.22486272,181
384,116792,692,34,315,184,850,126,767,80,3.22486272,327
385,117080,692,34,315,184,850,126,770,80,3.22486272,288
386,117369,692,34,315,184,850,126,777,83,3.22486272,289
387,117665,744,60,315,184,902,152,875,122,3.22486272,296
388,117904,744,60,315,184,902,152,875,121,3.22486272,239
389,118115,744,60,315,184,902,152,894,129,3.22486272,211
390,118328,744,60,315,184,902,152,922,144,3.22486272,213
391,118543,744,60,315,184,902,152,935,181,3.22544630216373,215
392,118761,755,128,315,184,913,220,935,182,3.22889643612742,218
393,119053,755,129,315,184,913,221,935,187,3.3074461083881,292
394,119262,779,197,315,184,937,289,956,247,3.3074461083881,209
395,119445,779,197,315,184,937,289,956,241,3.99801648943519,183
396,119638,779,197,315,184,937,289,974,270,3.99801648943519,193
397,119820,812,209,262,153,943,286,962,253,4.9333908639121,182
398,120037,812,209,262,153,943,286,974,269,4.9333908639121,217
399,120396,839,219,219,128,949,283,974,269,5.71540077560621,359
400,120740,861,227,182,106,952,280,973,268,6.76446082633764,344
401,120916,880,234,152,89,956,279,973,268,8.0244904034304,176
402,121148,895,240,127,74,959,277,973,269,8.0244904034304,232
403,121349,895,240,127,74,959,277,972,268,8.0244904034304,201
404,121544,895,240,127,74,959,277,972,268,8.0244904034304,195
405,121743,895,240,127,74,959,277,978,288,8.0244904034304,199
406,121943,897,268,127,74,961,305,978,288,8.0244904034304,200
407,122159,897,268,127,74,961,305,978,285,8.0244904034304,216
408,122367,897,268,127,74,961,305,978,299,8.0244904034304,208
409,122553,897,268,127,74,961,305,976,316,8.0244904034304,186
410,122736,898,292,127,74,962,329,976,316,8.0244904034304,183
411,123020,898,292,127,74,962,329,976,309,8.0244904034304,284
412,123254,898,292,127,74,962,329,980,346,8.0244904034304,234
413,123444,900,323,127,74,964,360,980,346,8.0244904034304,190
414,123648,900,323,127,74,964,360,980,344,8.0244904034304,204
415,124200,900,323,127,74,964,360,982,374,8.0244904034304,552
416,124512,903,355,127,74,967,392,982,374,8.0244904034304,312
417,124702,903,355,127,74,967,392,982,376,8.0244904034304,190
418,124929,903,355,127,74,967,392,982,378,8.0244904034304,227
419,125662,903,355,127,74,967,392,978,384,8.0244904034304,733
420,125850,903,355,127,74,967,392,978,384,8.02212628013944,188
421,126150,903,355,127,74,967,392,978,384,7.96247984185182,300
422,126332,890,331,127,74,954,368,978,384,7.96247984185182,182
423,126563,890,331,127,74,954,368,977,384,7.84484652001866,231
